Course Code,Major Name,Match Status
BIOL,Biology,
POL,Political Science,
PHIL,Philosophy,
ASTR,Astronomy,no match
ENGL,English,
ART,Art,no match
WLIT,World literature,no match
DANC,dance,no match
PSYC,Psychology,
MUS,Music,
HIST,History,
GREK,greek,no match
THTR,Drama,
EDUC,Education,
SSRA,,no match
PHYS,Physics,
GEOL,Geology,
GERM,german,no match
ECON,Economics,
SPAN,Spanish,
REL,Religion,
FREN,french,no match
ANTH,Anthropology,
RHET,Communications,
SOC,Sociology,
CHEM,Chemistry,
ENVS,environmental studies,no match
MATH,Math,
ASNS,asian studies?,no match
JPNS,japanese,no match
LAT,latin,no match
CHIN,chinese,no match
GENS,,no match
BCMB,biochemistry and molecular biology,no match
CLAS,classics,no match
LIBR,library,no match
FLL,foreign language (lab?),no match
IDSC,,no match
GNDS,gender studies,no match
ARTH,Art History,
ARTS,art,no match
LING,linguistics,no match
BBMB,biophysics biochemistry and molecular biology,no match
RFS,rhetoric and film studeies,no match
LAMS,,no match
REST,,no match
RAES,race and ethnic studies,no match
INTL,,no match
SCI,,no match
RMS,rhetoric and media studies,no match
FMS,Film,
COMP,composition,no match
CS,Computer Science,
AMES,Asian and Middle Eastern Studies,no match
HISP,Spanish,
RWPD,Communications,
GLIT,Global literatiture,no match
THDN,Drama,
SAME,,no match
IRES,interdiciplicary,no match
HCD,human centered design,no match
BBAC,brain behavior and cognition,no match
SJ,social justice,nomatch
