,Term,Subject,Gender,count,subject_totals,Race/Ethnicity,percent_subject,percent_wholeSchool,percentDifference
0,2000.5,ANTH,F,50,90.0,all,55.55555555555556,57.17783505154639,-1.6222794959908313
1,2000.5,ANTH,M,40,90.0,all,44.44444444444444,42.82216494845361,1.6222794959908313
2,2000.5,ART,F,222,335.0,all,66.26865671641791,57.17783505154639,9.09082166487152
3,2000.5,ART,M,113,335.0,all,33.731343283582085,42.82216494845361,-9.090821664871527
4,2000.5,ASNS,F,13,24.0,all,54.166666666666664,57.17783505154639,-3.011168384879724
5,2000.5,ASNS,M,11,24.0,all,45.83333333333333,42.82216494845361,3.011168384879717
6,2000.5,ASTR,F,106,196.0,all,54.08163265306123,57.17783505154639,-3.096202398485161
7,2000.5,ASTR,M,90,196.0,all,45.91836734693878,42.82216494845361,3.0962023984851683
8,2000.5,BCMB,F,16,26.0,all,61.53846153846154,57.17783505154639,4.360626486915152
9,2000.5,BCMB,M,10,26.0,all,38.46153846153847,42.82216494845361,-4.3606264869151445
10,2000.5,BIOL,F,354,530.0,all,66.79245283018868,57.17783505154639,9.614617778642291
11,2000.5,BIOL,M,176,530.0,all,33.20754716981132,42.82216494845361,-9.614617778642291
12,2000.5,CHEM,F,265,505.0,all,52.475247524752476,57.17783505154639,-4.702587526793913
13,2000.5,CHEM,M,240,505.0,all,47.524752475247524,42.82216494845361,4.702587526793913
14,2000.5,CHIN,F,10,18.0,all,55.55555555555556,57.17783505154639,-1.6222794959908313
15,2000.5,CHIN,M,8,18.0,all,44.44444444444444,42.82216494845361,1.6222794959908313
16,2000.5,CLAS,F,25,42.0,all,59.523809523809526,57.17783505154639,2.345974472263137
17,2000.5,CLAS,M,17,42.0,all,40.476190476190474,42.82216494845361,-2.345974472263137
18,2000.5,DANC,F,97,126.0,all,76.98412698412699,57.17783505154639,19.8062919325806
19,2000.5,DANC,M,29,126.0,all,23.015873015873016,42.82216494845361,-19.806291932580596
20,2000.5,ECON,F,72,190.0,all,37.89473684210527,57.17783505154639,-19.28309820944112
21,2000.5,ECON,M,118,190.0,all,62.10526315789474,42.82216494845361,19.28309820944113
22,2000.5,EDUC,F,108,147.0,all,73.46938775510205,57.17783505154639,16.29155270355566
23,2000.5,EDUC,M,39,147.0,all,26.53061224489796,42.82216494845361,-16.291552703555652
24,2000.5,ENGL,F,251,435.0,all,57.701149425287355,57.17783505154639,0.5233143737409662
25,2000.5,ENGL,M,184,435.0,all,42.298850574712645,42.82216494845361,-0.5233143737409662
26,2000.5,ENVS,F,39,65.0,all,60.0,57.17783505154639,2.8221649484536115
27,2000.5,ENVS,M,26,65.0,all,40.0,42.82216494845361,-2.8221649484536115
28,2000.5,FREN,F,91,116.0,all,78.44827586206897,57.17783505154639,21.27044081052258
29,2000.5,FREN,M,25,116.0,all,21.551724137931032,42.82216494845361,-21.27044081052258
30,2000.5,GENS,F,246,402.0,all,61.19402985074627,57.17783505154639,4.01619479919988
31,2000.5,GENS,M,156,402.0,all,38.80597014925373,42.82216494845361,-4.01619479919988
32,2000.5,GEOL,F,163,310.0,all,52.58064516129032,57.17783505154639,-4.597189890256068
33,2000.5,GEOL,M,147,310.0,all,47.41935483870968,42.82216494845361,4.597189890256068
34,2000.5,GERM,F,28,49.0,all,57.14285714285714,57.17783505154639,-0.03497790868924966
35,2000.5,GERM,M,21,49.0,all,42.857142857142854,42.82216494845361,0.034977908689242554
36,2000.5,GREK,F,7,15.0,all,46.666666666666664,57.17783505154639,-10.511168384879724
37,2000.5,GREK,M,8,15.0,all,53.333333333333336,42.82216494845361,10.511168384879724
38,2000.5,HIST,F,152,261.0,all,58.23754789272031,57.17783505154639,1.0597128411739192
39,2000.5,HIST,M,109,261.0,all,41.7624521072797,42.82216494845361,-1.059712841173912
40,2000.5,JPNS,F,16,20.0,all,80.0,57.17783505154639,22.82216494845361
41,2000.5,JPNS,M,4,20.0,all,20.0,42.82216494845361,-22.82216494845361
42,2000.5,LAT,F,14,21.0,all,66.66666666666666,57.17783505154639,9.488831615120269
43,2000.5,LAT,M,7,21.0,all,33.33333333333333,42.82216494845361,-9.488831615120283
44,2000.5,MATH,F,142,345.0,all,41.15942028985507,57.17783505154639,-16.018414761691318
45,2000.5,MATH,M,203,345.0,all,58.84057971014492,42.82216494845361,16.01841476169131
46,2000.5,MUS,F,420,785.0,all,53.503184713375795,57.17783505154639,-3.6746503381705935
47,2000.5,MUS,M,365,785.0,all,46.496815286624205,42.82216494845361,3.6746503381705935
48,2000.5,PHIL,F,117,273.0,all,42.857142857142854,57.17783505154639,-14.320692194403534
49,2000.5,PHIL,M,156,273.0,all,57.14285714285714,42.82216494845361,14.320692194403527
50,2000.5,PHYS,F,83,259.0,all,32.04633204633205,57.17783505154639,-25.13150300521434
51,2000.5,PHYS,M,176,259.0,all,67.95366795366795,42.82216494845361,25.131503005214334
52,2000.5,POL,F,148,295.0,all,50.16949152542372,57.17783505154639,-7.008343526122665
53,2000.5,POL,M,147,295.0,all,49.83050847457628,42.82216494845361,7.008343526122665
54,2000.5,PSYC,F,216,306.0,all,70.58823529411765,57.17783505154639,13.410400242571264
55,2000.5,PSYC,M,90,306.0,all,29.411764705882355,42.82216494845361,-13.410400242571257
56,2000.5,REL,F,102,166.0,all,61.44578313253012,57.17783505154639,4.267948080983729
57,2000.5,REL,M,64,166.0,all,38.55421686746988,42.82216494845361,-4.267948080983729
58,2000.5,RHET,F,31,85.0,all,36.470588235294116,57.17783505154639,-20.707246816252272
59,2000.5,RHET,M,54,85.0,all,63.52941176470588,42.82216494845361,20.707246816252265
60,2000.5,SOC,F,174,243.0,all,71.60493827160494,57.17783505154639,14.427103220058548
61,2000.5,SOC,M,69,243.0,all,28.39506172839506,42.82216494845361,-14.427103220058552
62,2000.5,SPAN,F,162,206.0,all,78.64077669902912,57.17783505154639,21.46294164748273
63,2000.5,SPAN,M,44,206.0,all,21.35922330097087,42.82216494845361,-21.46294164748274
64,2000.5,SSRA,F,335,586.0,all,57.16723549488054,57.17783505154639,-0.010599556665845
65,2000.5,SSRA,M,251,586.0,all,42.83276450511945,42.82216494845361,0.010599556665837895
66,2000.5,THTR,F,129,228.0,all,56.57894736842105,57.17783505154639,-0.5988876831253407
67,2000.5,THTR,M,99,228.0,all,43.42105263157895,42.82216494845361,0.5988876831253407
68,2000.5,WLIT,F,32,50.0,all,64.0,57.17783505154639,6.8221649484536115
69,2000.5,WLIT,M,18,50.0,all,36.0,42.82216494845361,-6.8221649484536115
70,2001.0,ANTH,F,64,109.0,all,58.71559633027523,57.539994754786264,1.1756015754889688
71,2001.0,ANTH,M,45,109.0,all,41.284403669724774,42.460005245213736,-1.1756015754889617
72,2001.0,ART,F,237,351.0,all,67.52136752136752,57.539994754786264,9.98137276658126
73,2001.0,ART,M,114,351.0,all,32.47863247863248,42.460005245213736,-9.98137276658126
74,2001.0,ASNS,F,7,18.0,all,38.88888888888889,57.539994754786264,-18.65110586589737
75,2001.0,ASNS,M,11,18.0,all,61.111111111111114,42.460005245213736,18.651105865897378
76,2001.0,ASTR,F,59,130.0,all,45.38461538461539,57.539994754786264,-12.155379370170877
77,2001.0,ASTR,M,71,130.0,all,54.61538461538461,42.460005245213736,12.155379370170877
78,2001.0,BCMB,F,26,55.0,all,47.27272727272727,57.539994754786264,-10.26726748205899
79,2001.0,BCMB,M,29,55.0,all,52.72727272727272,42.460005245213736,10.267267482058983
80,2001.0,BIOL,F,359,543.0,all,66.11418047882137,57.539994754786264,8.574185724035104
81,2001.0,BIOL,M,184,543.0,all,33.88581952117864,42.460005245213736,-8.574185724035097
82,2001.0,CHEM,F,220,403.0,all,54.59057071960298,57.539994754786264,-2.9494240351832843
